net,length_um
net358,697.205µm
adder_inst.man_b_r\[14\],616.66µm
net423,592.25µm
net288,587.21µm
net417,580.91µm
net204,562.81µm
net275,558.43µm
net224,521.01µm
net264,491.705µm
net236,490.54µm
net218,480.93µm
net429,480.8µm
adder_inst.man_b_r\[17\],480.645µm
net270,473.15µm
net446,466.35µm
net482,455.68µm
net230,450.07µm
adder_inst.man_a_r\[0\],446.57µm
net523,442.43µm
net364,418.57µm
net245,415.235µm
clknet_2_3__leaf_clk,412.98µm
net476,412.88µm
net202,408.315µm
net251,406.54µm
net249,405.45µm
net248,402.805µm
net304,400.75µm
net553,397.38µm
net451,391.905µm
net246,388.54µm
net344,382.25µm
net405,378.385µm
net309,371.2µm
net609,365.35µm
net211,364.38µm
net243,362.88µm
net346,362.22µm
net240,355.94µm
net469,354.87µm
net457,351.97µm
net292,349.86µm
net583,349.65µm
net549,344.92µm
net411,337.17µm
net352,336.28µm
net229,335.28µm
net281,333.885µm
net388,332.725µm
net380,331.205µm
net399,330.98µm
net269,330.89µm
net238,329.85µm
clknet_2_1__leaf_clk,329.5µm
net231,329.325µm
net242,325.64µm
net286,325.315µm
clknet_0_clk,323.53µm
net435,322.83µm
net376,320.485µm
net235,319.76µm
net463,319.455µm
net394,319.08µm
net301,317.795µm
net267,311.67µm
net255,310.94µm
net244,309.78µm
net279,309µm
net340,308.805µm
net551,308.76µm
clknet_2_0__leaf_clk,308.1µm
net382,306.24µm
clk,304.6µm
net444,304.35µm
net398,303.465µm
net225,303.45µm
clknet_2_2__leaf_clk,300.84µm
net222,300.805µm
net250,299.67µm
net239,299.57µm
net385,298.795µm
net219,296.2µm
adder_inst.man_a_r\[22\],293.63µm
net260,293.47µm
net263,289.24µm
net252,289.15µm
net475,287.6µm
net416,286.115µm
net348,284.21µm
net298,283.46µm
net555,281.74µm
adder_inst.man_b_r\[8\],280.67µm
net370,280.07µm
net265,276.54µm
_2568_,273.68µm
net322,269.805µm
adder_inst.man_a_r\[7\],268.42µm
net384,265.68µm
net378,265.205µm
net316,265.015µm
net327,264.5µm
net392,261.78µm
net479,261µm
net374,258.4µm
net404,258.18µm
net282,258.155µm
net333,257.96µm
net472,257.17µm
net256,254.42µm
net273,254.19µm
net465,254.04µm
net186,253.495µm
net409,252.14µm
net468,251.885µm
net438,251.61µm
net441,251.44µm
net428,250.83µm
net400,250.32µm
net274,248.8µm
net425,248.73µm
adder_inst.man_a_r\[2\],248µm
adder_inst.man_a_r\[6\],247.89µm
net403,245.78µm
net481,245.385µm
net308,244.56µm
net369,243.66µm
net215,241.71µm
net413,238.55µm
net410,238.13µm
adder_inst.man_a_r\[3\],237.72µm
net104,236.72µm
net449,236.23µm
net261,234.35µm
net460,231.94µm
net456,231.54µm
net297,231.29µm
net276,231.08µm
net434,230.44µm
net175,230.06µm
net356,229.8µm
net67,228.91µm
net291,227.05µm
net462,224.045µm
net367,223.85µm
net200,223.155µm
net300,222.6µm
net373,222.6µm
adder_inst.man_a_r\[16\],221.4µm
net454,221.24µm
_3152_,221.16µm
net391,220.84µm
net351,220.06µm
net203,219.47µm
net347,217.84µm
net216,216.56µm
net258,215.52µm
net362,215.35µm
net573,214.28µm
net168,214.01µm
net289,213.28µm
net307,212.695µm
net450,212.585µm
net323,211.38µm
net303,211.115µm
_3270_,209.56µm
net337,208.59µm
net453,208.155µm
_3342_,207.69µm
net113,206.94µm
net464,206.76µm
net345,205.315µm
net365,204.545µm
net448,204.22µm
net397,203.99µm
net318,203.395µm
_3371_,202.84µm
net354,202.82µm
net341,201.22µm
opcode_stage1,201.16µm
net305,200.56µm
net459,200.195µm
net357,199.56µm
net386,199.36µm
net565,199.31µm
net108,199.3µm
net383,198.935µm
net349,198.67µm
adder_inst.man_a_r\[4\],198.56µm
net363,198.315µm
net359,197.86µm
net201,197.62µm
net321,197.36µm
net315,196.905µm
net217,195.36µm
_2256_,195.355µm
net293,195.03µm
net178,194.6µm
adder_inst.man_b_r\[4\],194.28µm
adder_inst.exp_larger_r\[7\],194.26µm
net205,192.71µm
net247,192.33µm
net227,191.84µm
net371,191.68µm
net480,191.64µm
multiplier_inst.man_final_r\[22\],191.38µm
net287,190.61µm
net207,189.9µm
net324,189.88µm
net262,189.38µm
net342,188.56µm
net431,188.34µm
