Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_825,VGND,li1,385.2500,391.6800,0.000055
FILLER_139_813,VGND,li1,382.2600,391.6800,0.000055
FILLER_139_809,VGND,li1,378.3500,391.6800,0.000055
FILLER_139_797,VGND,li1,374.9000,391.6800,0.000055
FILLER_139_785,VGND,li1,369.3800,391.6800,0.000055
FILLER_139_782,VGND,li1,365.7000,391.6800,0.000055
FILLER_139_774,VGND,li1,363.4000,391.6800,0.000055
FILLER_139_762,VGND,li1,358.8000,391.6800,0.000055
FILLER_139_755,VGND,li1,353.0500,391.6800,0.000055
FILLER_139_749,VGND,li1,351.4400,391.6800,0.000055
FILLER_139_742,VGND,li1,347.5300,391.6800,0.000054
FILLER_139_735,VGND,li1,344.3100,391.6800,0.000051
FILLER_139_729,VGND,li1,341.3200,391.6800,0.000049
FILLER_139_721,VGND,li1,337.8700,391.6800,0.000045
FILLER_139_713,VGND,li1,335.3400,391.6800,0.000041
FILLER_139_701,VGND,li1,330.7400,391.6800,0.000034
FILLER_139_693,VGND,li1,324.9900,391.6800,0.000046
FILLER_139_685,VGND,li1,321.5400,391.6800,0.000048
FILLER_139_673,VGND,li1,317.8600,391.6800,0.000052
FILLER_139_665,VGND,li1,312.1100,391.6800,0.000059
FILLER_139_658,VGND,li1,308.8900,391.6800,0.000061
FILLER_139_653,VGND,li1,306.3600,391.6800,0.000062
FILLER_139_645,VGND,li1,304.0600,391.6800,0.000063
FILLER_139_637,VGND,li1,299.2300,391.6800,0.000066
FILLER_139_613,VGND,li1,288.1900,391.6800,0.000064
FILLER_139_601,VGND,li1,284.7400,391.6800,0.000063
FILLER_139_589,VGND,li1,279.2200,391.6800,0.000062
FILLER_139_585,VGND,li1,275.3100,391.6800,0.000062
FILLER_139_573,VGND,li1,271.8600,391.6800,0.000061
FILLER_139_559,VGND,li1,262.8900,391.6800,0.000059
FILLER_139_551,VGND,li1,260.8200,391.6800,0.000058
FILLER_139_539,VGND,li1,256.2200,391.6800,0.000057
FILLER_139_531,VGND,li1,250.0100,391.6800,0.000055
FILLER_139_524,VGND,li1,247.0200,391.6800,0.000053
FILLER_139_517,VGND,li1,243.8000,391.6800,0.000052
FILLER_139_505,VGND,li1,238.7400,391.6800,0.000050
FILLER_139_501,VGND,li1,236.6700,391.6800,0.000049
FILLER_139_489,VGND,li1,233.2200,391.6800,0.000048
FILLER_139_477,VGND,li1,227.7000,391.6800,0.000045
FILLER_139_468,VGND,li1,222.6400,391.6800,0.000043
FILLER_139_453,VGND,li1,216.6600,391.6800,0.000040
FILLER_139_424,VGND,li1,200.7900,391.6800,0.000031
FILLER_139_421,VGND,li1,199.4100,391.6800,0.000029
FILLER_139_413,VGND,li1,195.7300,391.6800,0.000027
FILLER_139_405,VGND,li1,193.6600,391.6800,0.000025
FILLER_139_399,VGND,li1,189.2900,391.6800,0.000020
FILLER_139_393,VGND,li1,187.6800,391.6800,0.000020
FILLER_139_391,VGND,li1,185.6100,391.6800,0.000019
FILLER_139_384,VGND,li1,182.6200,391.6800,0.000015
FILLER_139_370,VGND,li1,176.1800,391.6800,0.000012
FILLER_139_363,VGND,li1,172.7300,391.6800,0.000012
FILLER_139_356,VGND,li1,169.7400,391.6800,0.000013
FILLER_139_349,VGND,li1,166.5200,391.6800,0.000013
FILLER_139_342,VGND,li1,163.3000,391.6800,0.000014
FILLER_139_335,VGND,li1,159.8500,391.6800,0.000015
FILLER_139_328,VGND,li1,156.8600,391.6800,0.000015
FILLER_139_321,VGND,li1,153.6400,391.6800,0.000015
FILLER_139_314,VGND,li1,150.4200,391.6800,0.000016
FILLER_139_307,VGND,li1,146.9700,391.6800,0.000016
FILLER_139_300,VGND,li1,143.9800,391.6800,0.000016
FILLER_139_293,VGND,li1,140.7600,391.6800,0.000017
FILLER_139_286,VGND,li1,137.5400,391.6800,0.000017
FILLER_139_279,VGND,li1,134.0900,391.6800,0.000017
FILLER_139_272,VGND,li1,131.1000,391.6800,0.000017
FILLER_139_265,VGND,li1,127.8800,391.6800,0.000017
FILLER_139_253,VGND,li1,124.6600,391.6800,0.000017
FILLER_139_246,VGND,li1,120.0600,391.6800,0.000017
FILLER_139_234,VGND,li1,115.9200,391.6800,0.000016
FILLER_139_225,VGND,li1,109.2500,391.6800,0.000016
FILLER_139_221,VGND,li1,107.8700,391.6800,0.000016
FILLER_139_209,VGND,li1,104.4200,391.6800,0.000015
FILLER_139_197,VGND,li1,98.9000,391.6800,0.000014
FILLER_139_195,VGND,li1,95.4500,391.6800,0.000014
FILLER_139_189,VGND,li1,93.8400,391.6800,0.000014
FILLER_139_177,VGND,li1,89.7000,391.6800,0.000013
FILLER_139_165,VGND,li1,82.1100,391.6800,0.000012
FILLER_139_153,VGND,li1,78.6600,391.6800,0.000011
FILLER_139_141,VGND,li1,73.1400,391.6800,0.000010
FILLER_139_137,VGND,li1,69.2300,391.6800,0.000010
FILLER_139_125,VGND,li1,65.7800,391.6800,0.000009
FILLER_139_113,VGND,li1,60.2600,391.6800,0.000008
FILLER_139_109,VGND,li1,56.3500,391.6800,0.000007
FILLER_139_97,VGND,li1,52.9000,391.6800,0.000007
FILLER_139_85,VGND,li1,47.3800,391.6800,0.000006
FILLER_139_81,VGND,li1,43.4700,391.6800,0.000005
FILLER_139_69,VGND,li1,40.0200,391.6800,0.000004
FILLER_139_57,VGND,li1,34.5000,391.6800,0.000003
FILLER_139_53,VGND,li1,30.5900,391.6800,0.000003
FILLER_139_41,VGND,li1,27.1400,391.6800,0.000002
FILLER_139_29,VGND,li1,21.6200,391.6800,0.000002
FILLER_139_27,VGND,li1,18.1700,391.6800,0.000002
FILLER_139_15,VGND,li1,15.1800,391.6800,0.000002
FILLER_139_3,VGND,li1,9.6600,391.6800,0.000002
FILLER_138_825,VGND,li1,385.2500,386.2400,0.000098
FILLER_138_813,VGND,li1,382.2600,386.2400,0.000098
FILLER_138_809,VGND,li1,378.3500,386.2400,0.000098
FILLER_138_797,VGND,li1,374.9000,386.2400,0.000098
FILLER_138_785,VGND,li1,369.3800,386.2400,0.000098
FILLER_138_761,VGND,li1,355.8100,386.2400,0.000095
FILLER_138_757,VGND,li1,354.6600,386.2400,0.000095
FILLER_138_755,VGND,li1,353.0500,386.2400,0.000094
FILLER_138_734,VGND,li1,343.3900,386.2400,0.000084
FILLER_138_712,VGND,li1,333.5000,386.2400,0.000070
FILLER_138_704,VGND,li1,331.2000,386.2400,0.000065
FILLER_138_699,VGND,li1,327.2900,386.2400,0.000088
FILLER_138_693,VGND,li1,325.6800,386.2400,0.000088
FILLER_138_669,VGND,li1,313.4900,386.2400,0.000133
FILLER_138_665,VGND,li1,312.3400,386.2400,0.000139
FILLER_138_641,VGND,li1,301.0700,386.2400,0.000169
FILLER_138_616,VGND,li1,289.3400,386.2400,0.000192
FILLER_138_589,VGND,li1,276.9200,386.2400,0.000211
FILLER_138_587,VGND,li1,275.7700,386.2400,0.000213
FILLER_138_581,VGND,li1,274.1600,386.2400,0.000213
FILLER_138_577,VGND,li1,271.1700,386.2400,0.000218
FILLER_138_573,VGND,li1,270.0200,386.2400,0.000218
FILLER_138_531,VGND,li1,250.0100,386.2400,0.000226
FILLER_138_521,VGND,li1,245.6400,386.2400,0.000225
FILLER_138_480,VGND,li1,226.5500,386.2400,0.000204
FILLER_138_474,VGND,li1,224.0200,386.2400,0.000201
FILLER_138_465,VGND,li1,219.6500,386.2400,0.000190
FILLER_138_443,VGND,li1,209.7600,386.2400,0.000172
FILLER_138_411,VGND,li1,194.8100,386.2400,0.000136
FILLER_138_403,VGND,li1,192.7400,386.2400,0.000128
