Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_825,VPWR,li1,385.2500,388.9600,1.799867
FILLER_139_813,VPWR,li1,382.2600,388.9600,1.799867
FILLER_139_809,VPWR,li1,378.3500,388.9600,1.799867
FILLER_139_797,VPWR,li1,374.9000,388.9600,1.799867
FILLER_139_785,VPWR,li1,369.3800,388.9600,1.799867
FILLER_139_782,VPWR,li1,365.7000,388.9600,1.799867
FILLER_139_774,VPWR,li1,363.4000,388.9600,1.799867
FILLER_139_762,VPWR,li1,358.8000,388.9600,1.799867
FILLER_139_755,VPWR,li1,353.0500,388.9600,1.799871
FILLER_139_749,VPWR,li1,351.4400,388.9600,1.799871
FILLER_139_742,VPWR,li1,347.5300,388.9600,1.799876
FILLER_139_735,VPWR,li1,344.3100,388.9600,1.799881
FILLER_139_729,VPWR,li1,341.3200,388.9600,1.799886
FILLER_139_721,VPWR,li1,337.8700,388.9600,1.799892
FILLER_139_713,VPWR,li1,335.3400,388.9600,1.799900
FILLER_139_701,VPWR,li1,330.7400,388.9600,1.799914
FILLER_139_693,VPWR,li1,324.9900,388.9600,1.799905
FILLER_139_685,VPWR,li1,321.5400,388.9600,1.799898
FILLER_139_673,VPWR,li1,317.8600,388.9600,1.799884
FILLER_139_665,VPWR,li1,312.1100,388.9600,1.799865
FILLER_139_658,VPWR,li1,308.8900,388.9600,1.799856
FILLER_139_653,VPWR,li1,306.3600,388.9600,1.799849
FILLER_139_645,VPWR,li1,304.0600,388.9600,1.799844
FILLER_139_637,VPWR,li1,299.2300,388.9600,1.799831
FILLER_139_613,VPWR,li1,288.1900,388.9600,1.799819
FILLER_139_601,VPWR,li1,284.7400,388.9600,1.799817
FILLER_139_589,VPWR,li1,279.2200,388.9600,1.799813
FILLER_139_585,VPWR,li1,275.3100,388.9600,1.799810
FILLER_139_573,VPWR,li1,271.8600,388.9600,1.799808
FILLER_139_559,VPWR,li1,262.8900,388.9600,1.799804
FILLER_139_551,VPWR,li1,260.8200,388.9600,1.799804
FILLER_139_539,VPWR,li1,256.2200,388.9600,1.799804
FILLER_139_531,VPWR,li1,250.0100,388.9600,1.799806
FILLER_139_524,VPWR,li1,247.0200,388.9600,1.799808
FILLER_139_517,VPWR,li1,243.8000,388.9600,1.799809
FILLER_139_505,VPWR,li1,238.7400,388.9600,1.799813
FILLER_139_501,VPWR,li1,236.6700,388.9600,1.799815
FILLER_139_489,VPWR,li1,233.2200,388.9600,1.799819
FILLER_139_477,VPWR,li1,227.7000,388.9600,1.799828
FILLER_139_468,VPWR,li1,222.6400,388.9600,1.799835
FILLER_139_453,VPWR,li1,216.6600,388.9600,1.799843
FILLER_139_424,VPWR,li1,200.7900,388.9600,1.799874
FILLER_139_421,VPWR,li1,199.4100,388.9600,1.799878
FILLER_139_413,VPWR,li1,195.7300,388.9600,1.799889
FILLER_139_405,VPWR,li1,193.6600,388.9600,1.799895
FILLER_139_399,VPWR,li1,189.2900,388.9600,1.799908
FILLER_139_393,VPWR,li1,187.6800,388.9600,1.799908
FILLER_139_391,VPWR,li1,185.6100,388.9600,1.799913
FILLER_139_384,VPWR,li1,182.6200,388.9600,1.799926
FILLER_139_370,VPWR,li1,176.1800,388.9600,1.799946
FILLER_139_363,VPWR,li1,172.7300,388.9600,1.799941
FILLER_139_356,VPWR,li1,169.7400,388.9600,1.799932
FILLER_139_349,VPWR,li1,166.5200,388.9600,1.799927
FILLER_139_342,VPWR,li1,163.3000,388.9600,1.799919
FILLER_139_335,VPWR,li1,159.8500,388.9600,1.799915
FILLER_139_328,VPWR,li1,156.8600,388.9600,1.799908
FILLER_139_321,VPWR,li1,153.6400,388.9600,1.799904
FILLER_139_314,VPWR,li1,150.4200,388.9600,1.799899
FILLER_139_307,VPWR,li1,146.9700,388.9600,1.799896
FILLER_139_300,VPWR,li1,143.9800,388.9600,1.799891
FILLER_139_293,VPWR,li1,140.7600,388.9600,1.799888
FILLER_139_286,VPWR,li1,137.5400,388.9600,1.799885
FILLER_139_279,VPWR,li1,134.0900,388.9600,1.799883
FILLER_139_272,VPWR,li1,131.1000,388.9600,1.799880
FILLER_139_265,VPWR,li1,127.8800,388.9600,1.799878
FILLER_139_253,VPWR,li1,124.6600,388.9600,1.799877
FILLER_139_246,VPWR,li1,120.0600,388.9600,1.799876
FILLER_139_234,VPWR,li1,115.9200,388.9600,1.799874
FILLER_139_225,VPWR,li1,109.2500,388.9600,1.799873
FILLER_139_221,VPWR,li1,107.8700,388.9600,1.799873
FILLER_139_209,VPWR,li1,104.4200,388.9600,1.799874
FILLER_139_197,VPWR,li1,98.9000,388.9600,1.799876
FILLER_139_195,VPWR,li1,95.4500,388.9600,1.799880
FILLER_139_189,VPWR,li1,93.8400,388.9600,1.799880
FILLER_139_177,VPWR,li1,89.7000,388.9600,1.799882
FILLER_139_165,VPWR,li1,82.1100,388.9600,1.799891
