net,length_um
clknet_1_0__leaf_clk,626.41µm
net213,570.06µm
net148,518.92µm
net145,503.19µm
net225,499.9µm
adder_inst.man_b_r\[4\],485.81µm
clknet_1_1__leaf_clk,470.975µm
net307,468.23µm
net194,465.16µm
net140,463.27µm
net217,462.11µm
net191,457.49µm
net160,454.27µm
net223,447.72µm
net142,436.86µm
net206,436.44µm
net154,422µm
net146,416.41µm
net197,415.79µm
net136,414.64µm
adder_inst.man_a_r\[15\],413.84µm
net234,412.97µm
net188,398.24µm
net237,394.58µm
net150,387.12µm
_00651_,377.65µm
adder_inst.man_a_r\[7\],375.35µm
net153,367.38µm
net185,364µm
net231,362.36µm
net211,361.24µm
net143,358.9µm
net151,357.24µm
net170,348.62µm
net220,347.325µm
net166,344.31µm
net159,342.12µm
net232,341.31µm
_06019_,337.47µm
_00650_,336.48µm
_01663_,333.77µm
net175,333.41µm
net182,332.59µm
net243,332.56µm
net221,331.735µm
net138,331.4µm
net132,330.16µm
net133,324.14µm
net205,314.83µm
net173,311.81µm
_01670_,310.36µm
net134,309.44µm
adder_inst.man_b_r\[2\],307.11µm
net168,306.82µm
_00588_,306.28µm
adder_inst.man_a_r\[17\],306.21µm
net224,301.27µm
net179,300µm
net184,299.71µm
net209,298.55µm
net240,297.36µm
net165,293.46µm
_01448_,292.63µm
multiplier_inst.sign_res,291.09µm
net189,290.86µm
net207,290.48µm
net181,289.96µm
net229,289.76µm
net226,288.99µm
net157,288.58µm
net129,285.26µm
net108,284.96µm
adder_inst.man_a_r\[16\],283.97µm
_01042_,281.48µm
net248,280.22µm
net117,279.39µm
net126,273.76µm
net106,272.83µm
_05681_,272.455µm
net163,272.05µm
_05651_,268.36µm
adder_inst.man_a_r\[18\],268.16µm
_06563_,267µm
net216,266.74µm
net201,264.72µm
net111,258.165µm
_00649_,256.89µm
net164,256.36µm
net174,254.03µm
net177,253.72µm
net169,253.5µm
net279,252.65µm
_03160_,252.31µm
net218,252.14µm
net200,251.08µm
clk,248.11µm
net210,244.65µm
net171,243.78µm
_01422_,240.92µm
adder_inst.man_b_r\[0\],240.89µm
_07021_,240.18µm
net155,238.8µm
adder_inst.man_a_r\[10\],238.59µm
_07042_,238.14µm
_02810_,237.69µm
net156,236.84µm
net167,233.98µm
net149,233.09µm
net239,231.08µm
_03954_,230.57µm
_04629_,229.68µm
adder_inst.man_b_r\[23\],228.3µm
net152,228.24µm
_06440_,225.68µm
net158,224.42µm
_06016_,224.4µm
net235,224.3µm
net176,219.96µm
net214,219.56µm
net242,218.83µm
net247,217.61µm
_00623_,216.18µm
_02569_,216.1µm
net122,215.22µm
net203,214.4µm
net162,213.45µm
net130,212.77µm
net199,212.3µm
_04134_,211.99µm
_05664_,211.55µm
net186,211.26µm
net208,210.19µm
_01449_,209.36µm
_04241_,206.85µm
net238,206.695µm
_03955_,203.6µm
net131,203.36µm
net244,201.53µm
net228,201.47µm
net127,201.38µm
net161,200.615µm
net116,199.12µm
_03127_,198.9µm
net202,198.58µm
_02805_,198.55µm
net110,198.345µm
net192,196.8µm
net114,196.66µm
_03911_,196.46µm
net212,196.18µm
net124,194.73µm
net139,193.18µm
net230,191.31µm
_05848_,191.12µm
_03128_,189.14µm
clknet_leaf_11_clk,188.36µm
_04560_,186.98µm
adder_inst.sum_raw_r\[3\],186.01µm
adder_inst.man_a_r\[1\],185.82µm
net245,185.41µm
net198,183.44µm
adder_inst.sum_raw_r\[4\],183.035µm
net178,181.3µm
net246,180.41µm
net204,179.8µm
net288,176.76µm
net260,176.38µm
_02505_,173.895µm
_05940_,173.22µm
_07141_,172.705µm
net123,172.62µm
net233,171.73µm
_07493_,171.635µm
clknet_leaf_18_clk,171.58µm
net195,171.16µm
net252,170.82µm
net137,170.21µm
net305,170.105µm
net125,168.94µm
_04550_,168.64µm
net241,168.12µm
