Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_119_709,VGND,li1,331.8900,337.2800,0.000010
FILLER_119_701,VGND,li1,329.8200,337.2800,0.000012
FILLER_119_697,VGND,li1,326.8300,337.2800,0.000015
FILLER_119_685,VGND,li1,323.3800,337.2800,0.000019
FILLER_119_673,VGND,li1,317.8600,337.2800,0.000024
FILLER_119_671,VGND,li1,314.4100,337.2800,0.000029
FILLER_119_665,VGND,li1,312.8000,337.2800,0.000029
FILLER_119_659,VGND,li1,309.1200,337.2800,0.000033
FILLER_119_637,VGND,li1,299.2300,337.2800,0.000042
FILLER_119_629,VGND,li1,296.7000,337.2800,0.000044
FILLER_119_617,VGND,li1,292.1000,337.2800,0.000048
FILLER_119_614,VGND,li1,288.4200,337.2800,0.000052
FILLER_119_600,VGND,li1,281.9800,337.2800,0.000054
FILLER_119_587,VGND,li1,275.7700,337.2800,0.000056
FILLER_119_583,VGND,li1,274.6200,337.2800,0.000057
FILLER_119_574,VGND,li1,270.9400,337.2800,0.000058
FILLER_119_569,VGND,li1,267.4900,337.2800,0.000058
FILLER_119_557,VGND,li1,262.4300,337.2800,0.000058
FILLER_119_549,VGND,li1,259.9000,337.2800,0.000058
FILLER_119_545,VGND,li1,256.4500,337.2800,0.000058
FILLER_119_530,VGND,li1,249.7800,337.2800,0.000057
FILLER_119_521,VGND,li1,245.4100,337.2800,0.000055
FILLER_119_517,VGND,li1,244.2600,337.2800,0.000055
FILLER_119_489,VGND,li1,231.1500,337.2800,0.000050
FILLER_119_477,VGND,li1,227.7000,337.2800,0.000048
FILLER_119_473,VGND,li1,223.7900,337.2800,0.000046
FILLER_119_461,VGND,li1,220.3400,337.2800,0.000044
FILLER_119_449,VGND,li1,214.8200,337.2800,0.000041
FILLER_119_417,VGND,li1,198.0300,337.2800,0.000032
FILLER_119_405,VGND,li1,194.5800,337.2800,0.000030
FILLER_119_393,VGND,li1,189.0600,337.2800,0.000027
FILLER_119_391,VGND,li1,185.6100,337.2800,0.000024
FILLER_119_384,VGND,li1,183.0800,337.2800,0.000023
FILLER_119_374,VGND,li1,177.7900,337.2800,0.000020
FILLER_119_365,VGND,li1,173.6500,337.2800,0.000027
FILLER_119_361,VGND,li1,172.2700,337.2800,0.000027
FILLER_119_349,VGND,li1,168.8200,337.2800,0.000031
FILLER_119_337,VGND,li1,160.7700,337.2800,0.000044
FILLER_119_329,VGND,li1,157.0900,337.2800,0.000046
FILLER_119_307,VGND,li1,146.9700,337.2800,0.000058
FILLER_119_300,VGND,li1,144.4400,337.2800,0.000060
FILLER_119_295,VGND,li1,141.6800,337.2800,0.000063
FILLER_119_286,VGND,li1,137.7700,337.2800,0.000068
FILLER_119_281,VGND,li1,135.2400,337.2800,0.000071
FILLER_119_279,VGND,li1,134.0900,337.2800,0.000071
FILLER_119_250,VGND,li1,120.9800,337.2800,0.000082
FILLER_119_245,VGND,li1,118.6800,337.2800,0.000084
FILLER_119_217,VGND,li1,105.5700,337.2800,0.000091
FILLER_119_195,VGND,li1,95.4500,337.2800,0.000094
FILLER_119_174,VGND,li1,85.7900,337.2800,0.000095
FILLER_119_169,VGND,li1,83.7200,337.2800,0.000095
FILLER_119_167,VGND,li1,82.5700,337.2800,0.000095
FILLER_119_131,VGND,li1,66.4700,337.2800,0.000094
FILLER_119_118,VGND,li1,60.2600,337.2800,0.000087
