Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_119_709,VPWR,li1,331.8900,334.5600,1.799974
FILLER_119_701,VPWR,li1,329.8200,334.5600,1.799974
FILLER_119_697,VPWR,li1,326.8300,334.5600,1.799968
FILLER_119_685,VPWR,li1,323.3800,334.5600,1.799959
FILLER_119_673,VPWR,li1,317.8600,334.5600,1.799940
FILLER_119_671,VPWR,li1,314.4100,334.5600,1.799933
FILLER_119_665,VPWR,li1,312.8000,334.5600,1.799928
FILLER_119_659,VPWR,li1,309.1200,334.5600,1.799921
FILLER_119_637,VPWR,li1,299.2300,334.5600,1.799898
FILLER_119_629,VPWR,li1,296.7000,334.5600,1.799890
FILLER_119_617,VPWR,li1,292.1000,334.5600,1.799883
FILLER_119_614,VPWR,li1,288.4200,334.5600,1.799873
FILLER_119_600,VPWR,li1,281.9800,334.5600,1.799863
FILLER_119_587,VPWR,li1,275.7700,334.5600,1.799857
FILLER_119_583,VPWR,li1,274.6200,334.5600,1.799855
FILLER_119_574,VPWR,li1,270.9400,334.5600,1.799853
FILLER_119_569,VPWR,li1,267.4900,334.5600,1.799851
FILLER_119_557,VPWR,li1,262.4300,334.5600,1.799848
FILLER_119_549,VPWR,li1,259.9000,334.5600,1.799848
FILLER_119_545,VPWR,li1,256.4500,334.5600,1.799847
FILLER_119_530,VPWR,li1,249.7800,334.5600,1.799848
FILLER_119_521,VPWR,li1,245.4100,334.5600,1.799850
FILLER_119_517,VPWR,li1,244.2600,334.5600,1.799850
FILLER_119_489,VPWR,li1,231.1500,334.5600,1.799860
FILLER_119_477,VPWR,li1,227.7000,334.5600,1.799862
FILLER_119_473,VPWR,li1,223.7900,334.5600,1.799867
FILLER_119_461,VPWR,li1,220.3400,334.5600,1.799870
FILLER_119_449,VPWR,li1,214.8200,334.5600,1.799876
FILLER_119_417,VPWR,li1,198.0300,334.5600,1.799905
FILLER_119_405,VPWR,li1,194.5800,334.5600,1.799912
FILLER_119_393,VPWR,li1,189.0600,334.5600,1.799922
FILLER_119_391,VPWR,li1,185.6100,334.5600,1.799928
FILLER_119_384,VPWR,li1,183.0800,334.5600,1.799932
FILLER_119_374,VPWR,li1,177.7900,334.5600,1.799942
FILLER_119_365,VPWR,li1,173.6500,334.5600,1.799938
FILLER_119_361,VPWR,li1,172.2700,334.5600,1.799938
FILLER_119_349,VPWR,li1,168.8200,334.5600,1.799927
FILLER_119_337,VPWR,li1,160.7700,334.5600,1.799903
FILLER_119_329,VPWR,li1,157.0900,334.5600,1.799898
FILLER_119_307,VPWR,li1,146.9700,334.5600,1.799876
FILLER_119_300,VPWR,li1,144.4400,334.5600,1.799871
FILLER_119_295,VPWR,li1,141.6800,334.5600,1.799866
FILLER_119_286,VPWR,li1,137.7700,334.5600,1.799856
FILLER_119_281,VPWR,li1,135.2400,334.5600,1.799852
FILLER_119_279,VPWR,li1,134.0900,334.5600,1.799852
FILLER_119_250,VPWR,li1,120.9800,334.5600,1.799834
FILLER_119_245,VPWR,li1,118.6800,334.5600,1.799831
FILLER_119_217,VPWR,li1,105.5700,334.5600,1.799821
FILLER_119_195,VPWR,li1,95.4500,334.5600,1.799818
FILLER_119_174,VPWR,li1,85.7900,334.5600,1.799818
FILLER_119_169,VPWR,li1,83.7200,334.5600,1.799819
FILLER_119_167,VPWR,li1,82.5700,334.5600,1.799819
FILLER_119_131,VPWR,li1,66.4700,334.5600,1.799829
FILLER_119_118,VPWR,li1,60.2600,334.5600,1.799842
FILLER_119_113,VPWR,li1,57.9600,334.5600,1.799846
FILLER_119_111,VPWR,li1,56.8100,334.5600,1.799852
FILLER_119_105,VPWR,li1,55.2000,334.5600,1.799852
FILLER_119_75,VPWR,li1,40.2500,334.5600,1.799902
FILLER_119_69,VPWR,li1,38.6400,334.5600,1.799902
FILLER_119_57,VPWR,li1,34.5000,334.5600,1.799915
FILLER_119_53,VPWR,li1,30.5900,334.5600,1.799928
FILLER_119_41,VPWR,li1,27.1400,334.5600,1.799940
FILLER_119_29,VPWR,li1,21.6200,334.5600,1.799964
FILLER_119_27,VPWR,li1,18.1700,334.5600,1.799964
FILLER_119_15,VPWR,li1,15.1800,334.5600,1.799964
FILLER_119_3,VPWR,li1,9.6600,334.5600,1.799964
FILLER_118_709,VPWR,li1,331.8900,334.5600,1.799974
FILLER_118_701,VPWR,li1,329.8200,334.5600,1.799974
FILLER_118_699,VPWR,li1,327.2900,334.5600,1.799968
FILLER_118_687,VPWR,li1,324.3000,334.5600,1.799959
FILLER_118_677,VPWR,li1,317.4000,334.5600,1.799940
FILLER_118_665,VPWR,li1,311.6500,334.5600,1.799928
FILLER_118_643,VPWR,li1,301.5300,334.5600,1.799903
FILLER_118_635,VPWR,li1,299.4600,334.5600,1.799898
FILLER_118_587,VPWR,li1,275.7700,334.5600,1.799857
FILLER_118_522,VPWR,li1,245.8700,334.5600,1.799850
FILLER_118_517,VPWR,li1,243.8000,334.5600,1.799851
FILLER_118_475,VPWR,li1,224.2500,334.5600,1.799867
FILLER_118_468,VPWR,li1,221.7200,334.5600,1.799870
FILLER_118_446,VPWR,li1,211.1400,334.5600,1.799882
FILLER_118_441,VPWR,li1,208.8400,334.5600,1.799885
FILLER_118_412,VPWR,li1,196.8800,334.5600,1.799905
FILLER_118_385,VPWR,li1,182.8500,334.5600,1.799932
FILLER_118_314,VPWR,li1,150.8800,334.5600,1.799881
FILLER_118_309,VPWR,li1,148.1200,334.5600,1.799876
FILLER_118_258,VPWR,li1,124.4300,334.5600,1.799837
FILLER_118_253,VPWR,li1,122.3600,334.5600,1.799834
FILLER_118_202,VPWR,li1,98.6700,334.5600,1.799819
FILLER_118_197,VPWR,li1,96.6000,334.5600,1.799818
FILLER_118_195,VPWR,li1,95.4500,334.5600,1.799818
FILLER_118_145,VPWR,li1,73.1400,334.5600,1.799823
FILLER_118_141,VPWR,li1,70.6100,334.5600,1.799825
FILLER_118_98,VPWR,li1,51.0600,334.5600,1.799864
FILLER_118_85,VPWR,li1,45.0800,334.5600,1.799884
FILLER_118_81,VPWR,li1,43.4700,334.5600,1.799891
FILLER_118_37,VPWR,li1,22.7700,334.5600,1.799956
FILLER_118_29,VPWR,li1,20.7000,334.5600,1.799964
FILLER_118_27,VPWR,li1,18.1700,334.5600,1.799964
FILLER_118_15,VPWR,li1,15.1800,334.5600,1.799964
FILLER_118_3,VPWR,li1,9.6600,334.5600,1.799964
FILLER_117_706,VPWR,li1,331.2000,329.1200,1.799973
FILLER_117_694,VPWR,li1,327.5200,329.1200,1.799967
FILLER_117_673,VPWR,li1,315.3300,329.1200,1.799934
FILLER_117_667,VPWR,li1,312.8000,329.1200,1.799929
FILLER_117_640,VPWR,li1,300.1500,329.1200,1.799900
FILLER_117_612,VPWR,li1,287.9600,329.1200,1.799875
FILLER_117_585,VPWR,li1,275.5400,329.1200,1.799862
FILLER_117_570,VPWR,li1,269.1000,329.1200,1.799856
FILLER_117_554,VPWR,li1,261.0500,329.1200,1.799851
FILLER_117_508,VPWR,li1,240.5800,329.1200,1.799854
FILLER_117_503,VPWR,li1,237.1300,329.1200,1.799857
FILLER_117_477,VPWR,li1,225.6300,329.1200,1.799866
FILLER_117_466,VPWR,li1,220.8000,329.1200,1.799872
FILLER_117_415,VPWR,li1,197.3400,329.1200,1.799907
