net,length_um
net464,612.09µm
net423,556.11µm
net251,493.265µm
clknet_1_1__leaf_clk,471.14µm
net244,420.45µm
net386,417.68µm
net418,410.835µm
net413,406.65µm
adder_inst.man_b_r\[18\],405.35µm
net425,376.63µm
net254,376.22µm
net396,371.425µm
net446,370.65µm
net276,355.19µm
net479,352.06µm
clknet_1_0__leaf_clk,350.01µm
net432,348.93µm
net259,341.74µm
net225,337.225µm
net460,333.08µm
net355,331.72µm
net524,328.755µm
net452,325.41µm
net266,324.84µm
net227,323.11µm
net403,322.635µm
net271,321.18µm
net209,320.925µm
net467,320.905µm
net429,320.86µm
net380,319.13µm
net477,318.6µm
net483,317.63µm
adder_inst.man_b_r\[20\],315.74µm
net440,311.01µm
net263,306.37µm
adder_inst.man_a_r\[4\],306.18µm
net277,304.42µm
net296,301.235µm
net236,301.04µm
net372,299.6µm
adder_inst.man_b_r\[11\],293.02µm
net366,291.54µm
net373,290.73µm
net434,286.05µm
net242,283.89µm
net235,281.755µm
net230,281.13µm
adder_inst.man_b_r\[21\],279.76µm
net438,278.415µm
net283,276.68µm
net476,273.01µm
net349,271.98µm
net279,266.635µm
adder_inst.man_b_r\[19\],266.3µm
net327,265.75µm
net261,261.49µm
net410,253.965µm
clk,252.25µm
adder_inst.man_a_r\[16\],250.06µm
adder_inst.man_a_r\[7\],250.04µm
adder_inst.man_a_r\[21\],249.4µm
adder_inst.man_a_r\[2\],248.18µm
net449,247.5µm
net292,242.92µm
net443,242.775µm
net395,241.805µm
net290,241.2µm
net313,241.07µm
net257,239.81µm
net549,237.76µm
adder_inst.man_b_r\[1\],230.65µm
adder_inst.man_b_r\[13\],230.6µm
net294,228.71µm
net340,228.34µm
net284,225.85µm
net280,224.945µm
net311,224.5µm
net417,223.51µm
net361,222.91µm
net274,222.66µm
net208,220.86µm
net287,220.79µm
net455,220.7µm
adder_inst.man_b_r\[22\],220.27µm
net114,219.24µm
net220,218.39µm
net309,215.62µm
net307,213.22µm
net548,213.09µm
net398,211.64µm
net421,211.335µm
net412,210.015µm
net428,209.89µm
net326,208.76µm
net214,207.72µm
net441,207.27µm
net302,206.79µm
net219,205.655µm
net391,204.95µm
net390,204.7µm
net215,204.56µm
net416,204.4µm
clknet_leaf_19_clk,204.26µm
net451,203.98µm
net506,203.94µm
net182,203.755µm
net222,202.82µm
_3371_,201.57µm
net258,200.96µm
net439,200.74µm
net426,200.54µm
net405,200.535µm
net472,200.29µm
net402,200.255µm
net437,200.16µm
net273,199.98µm
net408,199.64µm
net312,198.82µm
net431,198.355µm
net241,197.09µm
net388,196.67µm
adder_inst.man_b_r\[14\],196.39µm
net406,194.4µm
net367,193.77µm
net207,193.59µm
clknet_leaf_6_clk,192.14µm
clknet_leaf_11_clk,191.55µm
net67,190.66µm
adder_inst.sum_raw_r\[13\],189.44µm
net255,188.87µm
net411,187.98µm
net305,187.88µm
net269,187.66µm
net419,187.51µm
net104,186.92µm
net453,186.56µm
net433,186.33µm
net281,185.88µm
net267,185.815µm
net303,185.35µm
net250,182.8µm
net240,182.25µm
net221,181.13µm
net291,180.68µm
net319,180.615µm
net168,180.48µm
adder_inst.sum_raw_r\[15\],180.195µm
net260,180.16µm
net216,179.84µm
net270,179.36µm
net389,177.945µm
net278,177.74µm
net422,177.5µm
adder_inst.man_b_r\[9\],176.94µm
net285,176.935µm
net286,175.69µm
net166,175.2µm
net515,174.16µm
net325,174.02µm
net224,173.76µm
net481,173.04µm
net320,172.94µm
net394,172.45µm
net232,172.11µm
net329,172µm
net442,171.955µm
net465,171.84µm
_2568_,171.775µm
_3167_,171.14µm
net444,170.78µm
net206,169.88µm
net293,169.65µm
net447,169.46µm
net185,169.23µm
adder_inst.sum_raw_r\[14\],168.945µm
net213,168.88µm
net295,168.29µm
net379,167.88µm
net351,166.97µm
_3270_,166.88µm
net306,166µm
net473,165.615µm
net246,165.54µm
net249,165.275µm
net542,165.1µm
net430,164.325µm
net239,164.22µm
net196,163.455µm
net210,163.42µm
net253,162.29µm
net247,162.1µm
net435,160.9µm
net427,159.425µm
net523,158.96µm
_4115_,158.78µm
net228,157.055µm
net234,156.8µm
adder_inst.man_a_r\[22\],156.54µm
net167,156.28µm
net245,156.14µm
net243,155.9µm
net143,155.58µm
net393,155.5µm
net310,155.085µm
net237,154.98µm
net415,154.58µm
net409,154.53µm
net197,154.3µm
net233,154.3µm
net106,154.18µm
net330,153.47µm
net223,153.01µm
net226,152.77µm
net337,152.66µm
net194,152.49µm
net448,152.465µm
_3665_,152.3µm
net256,152.13µm
net218,151.76µm
net297,151.725µm
net450,151.31µm
net153,151.14µm
net461,150.975µm
clknet_leaf_12_clk,150.82µm
net343,150.23µm
net456,150.205µm
net354,150.19µm
net175,150.16µm
net217,149.5µm
net385,149.355µm
net252,149.12µm
clknet_leaf_3_clk,147.1µm
clknet_leaf_10_clk,146.84µm
net299,146.705µm
adder_inst.sum_raw_r\[12\],146.595µm
adder_inst.man_b_r\[0\],146.56µm
net314,145.885µm
net344,145.82µm
net454,145.18µm
net400,144.795µm
net318,144.03µm
net265,144.02µm
_4269_,143.99µm
net458,143.645µm
adder_inst.exp_larger\[4\],142.82µm
clknet_leaf_20_clk,142.48µm
net231,142.12µm
net331,142.04µm
net268,141.75µm
clknet_0_clk,141.73µm
net317,140.78µm
net336,140.42µm
net238,140.04µm
net463,140.02µm
adder_inst.man_a_r\[13\],139.36µm
adder_inst.sum_raw_r\[16\],139.245µm
net368,139.22µm
net490,139.02µm
net504,138.73µm
net487,138.4µm
net321,138.37µm
adder_inst.exp_larger\[5\],138.3µm
net407,138.08µm
adder_inst.man_b_r\[17\],137.98µm
net420,137.77µm
net205,137.75µm
net324,137.08µm
net298,136.935µm
net507,136.5µm
_2790_,136.445µm
net264,136.37µm
net424,136.32µm
net414,136.22µm
_3363_,135.78µm
net165,135.38µm
net154,133.96µm
net334,132.5µm
adder_inst.exp_larger\[6\],132.24µm
net381,131.72µm
net499,130.95µm
clknet_leaf_18_clk,130.64µm
_4358_,130.1µm
net212,129.96µm
net505,129.66µm
net328,129.21µm
net141,128.57µm
net179,128.465µm
net360,127.45µm
net478,126.34µm
net475,126.27µm
_1620_,126.09µm
net272,126.06µm
net193,125.93µm
net404,125.415µm
net436,125.315µm
net127,125µm
_2573_,124.8µm
net357,124.79µm
net171,123.91µm
_3342_,123.57µm
net347,123.5µm
adder_inst.man_b_r\[2\],123.02µm
net377,122.75µm
net156,121.92µm
adder_inst.exp_larger_r\[7\],121.88µm
net383,121.64µm
net348,120.92µm
clknet_leaf_22_clk,120.64µm
net229,120.37µm
net315,119.995µm
clknet_leaf_17_clk,119.62µm
adder_inst.sum_raw_r\[3\],119.43µm
net401,119.32µm
net172,119.24µm
_3180_,119.05µm
net365,119.05µm
net492,118.81µm
clknet_leaf_0_clk,118.72µm
net180,118.68µm
net123,118.31µm
net384,118.265µm
net335,118.105µm
adder_inst.is_nan_r,117.86µm
_2256_,117.18µm
adder_inst.man_b_r\[10\],116.3µm
net392,116.275µm
net364,116.14µm
_3664_,115.28µm
adder_inst.sum_raw_r\[4\],114.765µm
adder_inst.sum_raw_r\[5\],114.61µm
net163,114.34µm
net469,114.235µm
net105,113.99µm
net471,113.98µm
