Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_116_685,VGND,li1,322.0000,326.4000,0.000018
FILLER_116_673,VGND,li1,317.8600,326.4000,0.000018
FILLER_116_668,VGND,li1,313.7200,326.4000,0.000018
FILLER_116_656,VGND,li1,310.0400,326.4000,0.000027
FILLER_116_643,VGND,li1,301.5300,326.4000,0.000039
FILLER_116_631,VGND,li1,296.2400,326.4000,0.000046
FILLER_116_623,VGND,li1,293.9400,326.4000,0.000049
FILLER_116_617,VGND,li1,289.8000,326.4000,0.000053
FILLER_116_589,VGND,li1,278.3000,326.4000,0.000055
FILLER_116_587,VGND,li1,275.7700,326.4000,0.000054
FILLER_116_581,VGND,li1,274.1600,326.4000,0.000054
FILLER_116_574,VGND,li1,270.2500,326.4000,0.000053
FILLER_116_567,VGND,li1,267.0300,326.4000,0.000049
FILLER_116_543,VGND,li1,256.6800,326.4000,0.000038
FILLER_116_529,VGND,li1,249.5500,326.4000,0.000038
FILLER_116_521,VGND,li1,245.6400,326.4000,0.000043
FILLER_116_503,VGND,li1,237.1300,326.4000,0.000045
FILLER_116_489,VGND,li1,230.9200,326.4000,0.000045
FILLER_116_477,VGND,li1,227.7000,326.4000,0.000045
FILLER_116_475,VGND,li1,224.2500,326.4000,0.000044
FILLER_116_471,VGND,li1,223.1000,326.4000,0.000044
FILLER_116_449,VGND,li1,214.8200,326.4000,0.000041
FILLER_116_432,VGND,li1,204.4700,326.4000,0.000033
FILLER_116_418,VGND,li1,198.2600,326.4000,0.000027
FILLER_116_410,VGND,li1,195.9600,326.4000,0.000025
FILLER_116_393,VGND,li1,187.6800,326.4000,0.000024
FILLER_116_389,VGND,li1,185.1500,326.4000,0.000025
FILLER_116_377,VGND,li1,181.7000,326.4000,0.000026
FILLER_116_365,VGND,li1,176.1800,326.4000,0.000029
FILLER_116_363,VGND,li1,172.7300,326.4000,0.000029
FILLER_116_345,VGND,li1,164.4500,326.4000,0.000030
FILLER_116_328,VGND,li1,158.2400,326.4000,0.000030
FILLER_116_321,VGND,li1,154.1000,326.4000,0.000030
FILLER_116_317,VGND,li1,151.5700,326.4000,0.000030
FILLER_116_309,VGND,li1,148.1200,326.4000,0.000029
FILLER_116_307,VGND,li1,146.9700,326.4000,0.000029
FILLER_116_300,VGND,li1,144.4400,326.4000,0.000027
FILLER_116_294,VGND,li1,141.4500,326.4000,0.000026
FILLER_116_286,VGND,li1,137.5400,326.4000,0.000024
FILLER_116_281,VGND,li1,135.2400,326.4000,0.000023
FILLER_116_279,VGND,li1,134.0900,326.4000,0.000021
FILLER_116_275,VGND,li1,132.2500,326.4000,0.000024
