Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_116_685,VPWR,li1,322.0000,329.1200,1.799990
FILLER_116_673,VPWR,li1,317.8600,329.1200,1.799990
FILLER_116_668,VPWR,li1,313.7200,329.1200,1.799990
FILLER_116_656,VPWR,li1,310.0400,329.1200,1.799990
FILLER_116_643,VPWR,li1,301.5300,329.1200,1.799981
FILLER_116_631,VPWR,li1,296.2400,329.1200,1.799976
FILLER_116_623,VPWR,li1,293.9400,329.1200,1.799974
FILLER_116_617,VPWR,li1,289.8000,329.1200,1.799971
FILLER_116_589,VPWR,li1,278.3000,329.1200,1.799969
FILLER_116_587,VPWR,li1,275.7700,329.1200,1.799969
FILLER_116_581,VPWR,li1,274.1600,329.1200,1.799969
FILLER_116_574,VPWR,li1,270.2500,329.1200,1.799969
FILLER_116_567,VPWR,li1,267.0300,329.1200,1.799970
FILLER_116_543,VPWR,li1,256.6800,329.1200,1.799976
FILLER_116_529,VPWR,li1,249.5500,329.1200,1.799984
FILLER_116_521,VPWR,li1,245.6400,329.1200,1.799982
FILLER_116_503,VPWR,li1,237.1300,329.1200,1.799982
FILLER_116_489,VPWR,li1,230.9200,329.1200,1.799983
FILLER_116_477,VPWR,li1,227.7000,329.1200,1.799983
FILLER_116_475,VPWR,li1,224.2500,329.1200,1.799984
FILLER_116_471,VPWR,li1,223.1000,329.1200,1.799984
FILLER_116_449,VPWR,li1,214.8200,329.1200,1.799986
FILLER_116_432,VPWR,li1,204.4700,329.1200,1.799988
FILLER_116_418,VPWR,li1,198.2600,329.1200,1.799990
FILLER_116_410,VPWR,li1,195.9600,329.1200,1.799991
FILLER_116_393,VPWR,li1,187.6800,329.1200,1.799993
FILLER_116_389,VPWR,li1,185.1500,329.1200,1.799993
FILLER_116_377,VPWR,li1,181.7000,329.1200,1.799992
FILLER_116_365,VPWR,li1,176.1800,329.1200,1.799991
FILLER_116_363,VPWR,li1,172.7300,329.1200,1.799991
FILLER_116_345,VPWR,li1,164.4500,329.1200,1.799990
FILLER_116_328,VPWR,li1,158.2400,329.1200,1.799990
FILLER_116_321,VPWR,li1,154.1000,329.1200,1.799990
FILLER_116_317,VPWR,li1,151.5700,329.1200,1.799990
FILLER_116_309,VPWR,li1,148.1200,329.1200,1.799990
FILLER_116_307,VPWR,li1,146.9700,329.1200,1.799990
