Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/41-openroad-repairantennas/1-diodeinsertion/ALU.odb'…
Reading design constraints file at '/nix/store/ifgrnqkf6pcsk2qzdn5bai2rvd4skbbc-python3-3.11.9-env/lib/python3.11/site-packages/librelane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 1.6
[INFO] Setting input delay to: 1.6
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO] Setting signal min routing layer to: met1 and clock min routing layer to met1. 
[INFO] Setting signal max routing layer to: met5 and clock max routing layer to met5. 
-congestion_iterations 50 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 30%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 25 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 27
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 5171

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal      69464         33768          51.39%
met2       Vertical        51581         33738          34.59%
met3       Horizontal      34732         23807          31.46%
met4       Vertical        20715         12956          37.46%
met5       Horizontal       6900          3249          52.91%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 63679
[INFO GRT-0198] Via related Steiner nodes: 1035
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 80832
[INFO GRT-0112] Final usage 3D: 289386

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             33768         17981           53.25%             0 /  0 /  0
met2             33738         18335           54.35%             0 /  0 /  0
met3             23807          6348           26.66%             0 /  0 /  0
met4             12956          4076           31.46%             0 /  0 /  0
met5              3249           150            4.62%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           107518         46890           43.61%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 507281 um
[INFO GRT-0014] Routed nets: 10920
[INFO RSZ-0094] Found 78 endpoints with setup violations.
[INFO RSZ-0099] Repairing 78 out of 78 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -8.468 |     -429.3 |     78 | _14499_/D
       10 |       0 |       7 |        0 |      0 |     2 |   -8.304 |     -426.3 |     78 | _14499_/D
       20 |       0 |      14 |        2 |      0 |     4 |   -8.247 |     -424.0 |     78 | _14522_/D
       30 |       0 |      22 |        2 |      0 |     6 |   -8.273 |     -424.7 |     78 | _14522_/D
       40 |       1 |      24 |        6 |      0 |    11 |   -8.219 |     -423.1 |     78 | _14522_/D
       50 |       1 |      31 |        6 |      0 |    14 |   -8.243 |     -423.7 |     78 | _14522_/D
       60 |       1 |      40 |        6 |      0 |    15 |   -8.184 |     -422.2 |     78 | _14522_/D
       70 |       1 |      49 |        6 |      0 |    16 |   -8.168 |     -422.0 |     78 | _14522_/D
       80 |       2 |      56 |        6 |      0 |    18 |   -8.126 |     -420.7 |     78 | _14522_/D
       90 |       2 |      63 |        8 |      0 |    20 |   -8.129 |     -420.6 |     78 | _14522_/D
      100 |       3 |      71 |        8 |      0 |    21 |   -8.088 |     -419.5 |     78 | _14499_/D
      110 |       3 |      75 |        8 |      0 |    27 |   -8.025 |     -417.8 |     78 | _14522_/D
      120 |       4 |      80 |        8 |      0 |    31 |   -8.047 |     -418.0 |     78 | _14522_/D
      130 |       4 |      88 |        8 |      0 |    33 |   -8.038 |     -417.9 |     78 | _14522_/D
      140 |       4 |      98 |        8 |      0 |    33 |   -8.007 |     -418.4 |     78 | _14522_/D
      150 |       4 |     107 |        8 |      0 |    34 |   -7.995 |     -417.6 |     78 | _14522_/D
      160 |       4 |     117 |        8 |      0 |    34 |   -8.026 |     -417.8 |     78 | _14522_/D
      170 |       4 |     127 |        8 |      0 |    34 |   -7.980 |     -417.6 |     78 | _14522_/D
      180 |       4 |     135 |        8 |      0 |    36 |   -8.012 |     -417.2 |     78 | _14522_/D
      190 |       4 |     144 |        8 |      0 |    37 |   -7.992 |     -417.2 |     78 | _14522_/D
      200 |       4 |     151 |        8 |      0 |    40 |   -8.102 |     -418.9 |     78 | _14522_/D
      210 |       4 |     158 |        8 |      0 |    43 |   -8.005 |     -416.8 |     78 | _14522_/D
      220 |       5 |     162 |       10 |      0 |    47 |   -7.976 |     -416.7 |     78 | _14522_/D
      230 |       5 |     168 |       14 |      0 |    49 |   -8.000 |     -416.5 |     78 | _14522_/D
      240 |       5 |     174 |       14 |      0 |    53 |   -7.962 |     -415.3 |     78 | _14522_/D
      250 |       5 |     178 |       16 |      0 |    58 |   -8.013 |     -416.4 |     78 | _14522_/D
      260 |       5 |     185 |       16 |      0 |    61 |   -7.984 |     -415.7 |     78 | _14522_/D
      270 |       6 |     191 |       16 |      0 |    64 |   -7.978 |     -415.3 |     78 | _14522_/D
      280 |       6 |     200 |       16 |      0 |    65 |   -8.013 |     -415.4 |     78 | _14522_/D
      290 |       7 |     208 |       16 |      0 |    66 |   -7.982 |     -415.3 |     78 | _14522_/D
      300 |       7 |     217 |       16 |      0 |    67 |   -7.982 |     -415.3 |     78 | _14522_/D
      310 |       7 |     224 |       18 |      0 |    69 |   -7.932 |     -415.3 |     78 | _14499_/D
      320 |       8 |     230 |       18 |      0 |    72 |   -7.833 |     -413.9 |     78 | _14499_/D
      330 |       8 |     237 |       18 |      0 |    75 |   -7.871 |     -414.1 |     78 | _14499_/D
      340 |       8 |     244 |       20 |      0 |    77 |   -7.892 |     -414.6 |     78 | _14499_/D
      350 |       8 |     254 |       20 |      0 |    77 |   -7.849 |     -413.7 |     78 | _14499_/D
      360 |       8 |     262 |       22 |      0 |    78 |   -7.840 |     -413.4 |     78 | _14499_/D
      369 |       8 |     234 |       21 |      0 |    72 |   -7.828 |     -413.9 |     78 | _14499_/D
      370 |       8 |     234 |       21 |      0 |    72 |   -7.828 |     -413.9 |     78 | _14499_/D
      380 |       8 |     243 |       21 |      0 |    73 |   -7.866 |     -414.2 |     78 | _14499_/D
      390 |       8 |     251 |       23 |      0 |    74 |   -7.855 |     -414.4 |     78 | _14499_/D
      400 |       8 |     260 |       23 |      0 |    75 |   -7.854 |     -413.8 |     78 | _14499_/D
