net,length_um
adder_inst.man_b_r\[8\],593.94µm
adder_inst.man_b_r\[12\],548.73µm
adder_inst.man_b_r\[9\],544.25µm
net1108,541.02µm
net1166,527.99µm
_06895_,478.54µm
_05541_,473.68µm
clknet_1_0__leaf_clk,470.76µm
net1203,456.41µm
net1033,455.315µm
clknet_1_1__leaf_clk,442.9µm
net1101,438.49µm
net1160,435.95µm
net1268,420.57µm
net1202,416.85µm
net912,414.22µm
net1923,408.34µm
net1221,398.765µm
net1115,391.27µm
_06890_,381.26µm
net1046,365.66µm
adder_inst.man_b_r\[13\],365.11µm
net1378,364.71µm
net1100,364.11µm
_01022_,355.37µm
adder_inst.man_b_r\[19\],351.47µm
net1692,351.2µm
_05558_,345.94µm
net923,340.51µm
adder_inst.man_b_r\[18\],339.92µm
net2962,338.79µm
adder_inst.man_b_r\[17\],338.64µm
net2535,338.24µm
net2607,333µm
_05548_,324.85µm
net1811,321.05µm
_05545_,319.81µm
adder_inst.man_b_r\[22\],319.33µm
net2386,316.09µm
net2965,315.76µm
net1390,315.43µm
net1116,314.8µm
net2507,314.66µm
net968,313.85µm
net995,313.79µm
adder_inst.man_a_r\[15\],312.01µm
net1893,308.55µm
net1004,307.72µm
net2369,305.95µm
_06883_,305.34µm
net2248,302.36µm
_05555_,301.14µm
_05572_,297.28µm
net1266,296.52µm
net1363,296.14µm
_00472_,293.34µm
_06888_,292.32µm
net1600,290.26µm
_05569_,289.64µm
net1098,288.7µm
net1771,285.735µm
net1173,283.32µm
net1350,282.85µm
_05568_,282.16µm
net1162,281.56µm
net2522,280.5µm
_06900_,280.48µm
net2684,277.5µm
net2580,272.5µm
net2952,272.39µm
adder_inst.man_a_r\[13\],271.62µm
net2473,270µm
net790,269.57µm
net1122,268.61µm
net2661,267.74µm
_05534_,267.64µm
_06821_,266.23µm
_06889_,266.23µm
net1429,265.82µm
net2339,265.715µm
clk,265.69µm
net2635,264.62µm
net1045,264.58µm
net1840,263.66µm
net2564,263.24µm
net1032,260.74µm
net983,260.25µm
net915,259.93µm
net1336,259.87µm
net2591,258.3µm
net1178,255.82µm
_05317_,255.39µm
net1724,250.22µm
net1218,250.175µm
_06877_,249.8µm
net1097,249.73µm
adder_inst.man_b_r\[21\],248.93µm
net3208,247.46µm
net1863,247.16µm
net1121,245.71µm
net2490,244.16µm
net1204,243.42µm
net2918,243.06µm
net2444,242.73µm
net1142,241.26µm
net1154,239.53µm
net2551,239.12µm
net1492,239.08µm
net1362,238.95µm
net1114,237.54µm
net1211,237.3µm
_05760_,237.29µm
net1757,236.93µm
clknet_0_clk,236.15µm
net2286,236.12µm
net1053,236.08µm
net1389,230.03µm
net2285,229.11µm
net2621,228.34µm
net322,228.23µm
net2645,227.64µm
net2523,227.34µm
_06820_,226.21µm
net498,226.19µm
net1167,225.75µm
_06893_,224.57µm
net1119,224.16µm
net2338,223.94µm
net1428,223.51µm
net527,223.27µm
net1404,223.24µm
net2489,221.55µm
net2414,220.68µm
net1198,218.8µm
net2428,218.69µm
_00643_,218.26µm
net1125,217.77µm
net2560,217µm
net1458,216.98µm
_06161_,216.47µm
net916,215.82µm
net3002,214.89µm
_06896_,213.64µm
net1248,213.08µm
net1271,212.99µm
_05529_,210.02µm
net1200,209.95µm
net973,209.82µm
net1562,209.12µm
net2667,208.5µm
net1250,208.06µm
net2577,207.96µm
net990,207.93µm
_06622_,207.5µm
clknet_leaf_0_clk,206.72µm
net1124,206.31µm
net1532,206.17µm
net1161,206.08µm
net1413,205.25µm
net1228,202.81µm
clknet_leaf_20_clk,202.7µm
net2385,202.53µm
net2606,202.02µm
_05573_,201.1µm
net165,200.17µm
net1506,199.45µm
net2951,199.22µm
net898,199.14µm
clknet_leaf_7_clk,198.61µm
net1225,198.01µm
net2534,197.85µm
net2309,197.39µm
adder_inst.man_a_r\[9\],197.27µm
net2634,197.24µm
net917,197.1µm
net910,196.3µm
_06899_,195.53µm
net1051,194.62µm
net1107,194.4µm
net2413,194.38µm
net2578,194.3µm
net1521,193.56µm
_05324_,193.48µm
net1232,191.66µm
net1224,191.05µm
net1782,189.93µm
net1548,189.88µm
net1031,189.81µm
net1470,189µm
net2368,188.54µm
net2469,188.42µm
net1175,187.66µm
_05527_,187.5µm
adder_inst.man_b_r\[6\],187.41µm
net1498,187.32µm
net994,186.78µm
adder_inst.man_a_r\[10\],186.61µm
net998,186.4µm
net1244,186.34µm
net2305,186.15µm
net1149,186µm
net1593,185.9µm
net1691,185.61µm
net1099,185.5µm
net1439,185.155µm
net3145,184.75µm
net1445,184.54µm
net1477,183.32µm
net921,182.61µm
_05526_,182.44µm
net1829,182.33µm
net919,182.24µm
net1662,181.42µm
_06071_,181.12µm
net1177,179.59µm
clknet_leaf_8_clk,178.82µm
net1514,177.98µm
net989,177.84µm
net1418,177.36µm
net2660,176.91µm
net1723,176.78µm
adder_inst.man_b_r\[7\],176.65µm
net1599,176.47µm
net1026,176.01µm
net2337,175.28µm
net1629,175.07µm
net2139,174.88µm
net1251,174.83µm
net2280,174.41µm
net1199,174.29µm
net1263,174.18µm
net2434,174.16µm
net1105,173.91µm
net225,173.88µm
net1772,172.65µm
_06879_,172.54µm
clknet_leaf_5_clk,171.46µm
net2672,171.31µm
net1205,171.07µm
net1095,170.96µm
net1985,170.72µm
net1854,170.56µm
net1111,170.51µm
net1756,169.88µm
net2503,168.6µm
clknet_leaf_17_clk,167.96µm
net1882,167.31µm
net535,166.56µm
net1096,166.16µm
net1663,166.03µm
net2658,165.97µm
adder_inst.man_b_r\[5\],165.78µm
net1911,165.41µm
net1264,165.2µm
adder_inst.exp_larger\[4\],164.28µm
net1959,164.1µm
net899,164.01µm
net1798,163.85µm
net1145,163.69µm
net1230,163.42µm
adder_inst.man_b_r\[16\],162.92µm
net2330,162.54µm
net999,161.68µm
net1003,161.27µm
net1014,161.23µm
net2442,160.9µm
net2026,160.7µm
net1568,160.58µm
adder_inst.man_a_r\[17\],160.54µm
_05639_,159.52µm
net1216,158.85µm
adder_inst.man_a_r\[11\],158.36µm
net1830,158.31µm
_05612_,158.19µm
clknet_leaf_6_clk,157.74µm
net960,157.68µm
net1153,157.43µm
net1010,157.09µm
_01366_,156.15µm
net1335,155.32µm
_06156_,154.92µm
net1547,154.76µm
net1520,154.65µm
adder_inst.sum_raw_r\[13\],154.54µm
net2981,154.5µm
net2257,154.24µm
net768,153.54µm
net2640,153.39µm
net1614,152.92µm
net2270,152.62µm
net1512,152.4µm
_06072_,152.36µm
clknet_leaf_14_clk,152.14µm
net1585,151.59µm
net2549,150.79µm
net1910,150.5µm
net785,150.34µm
net1165,150.27µm
net2384,149.69µm
_06812_,149.38µm
net2926,148.67µm
net2629,148.41µm
clknet_leaf_1_clk,148.245µm
net1792,148.12µm
net1880,148.08µm
adder_inst.i_a\[12\],148.04µm
net1331,147.98µm
adder_inst.man_b_r\[11\],147.77µm
net2360,147.72µm
net1257,147.71µm
net2617,147.6µm
net2224,146.96µm
net789,146.86µm
net1881,146.67µm
adder_inst.sum_raw_r\[17\],146.62µm
net1403,146.24µm
net1650,146.04µm
net1147,145.89µm
net729,145.16µm
_06897_,144.93µm
net1491,144.87µm
net540,144.82µm
_05766_,144.56µm
net2457,144.06µm
adder_inst.man_a_r\[18\],143.58µm
net2877,143.4µm
net1797,143.25µm
net2538,143µm
net1191,142.84µm
net857,142.78µm
net2114,142.72µm
net2037,142.67µm
net1799,142.23µm
net1579,141.86µm
net1833,141.6µm
net2329,141.56µm
net2662,141.53µm
net259,141.36µm
net1770,141.03µm
net2412,140.835µm
net1457,140.66µm
_06822_,140.61µm
adder_inst.man_a_r\[21\],140.48µm
net1018,140µm
net2359,139.78µm
adder_inst.man_a_r\[22\],139.77µm
net2301,139.52µm
net2576,139.45µm
net2590,139.22µm
net3169,138.76µm
_05581_,138.64µm
net2087,138.59µm
clknet_leaf_12_clk,138.57µm
net2575,138.22µm
_05593_,137.99µm
net2628,137.76µm
clknet_leaf_4_clk,137.6µm
net731,137.1µm
adder_inst.sum_raw\[15\],137.03µm
net2044,136.54µm
net2447,136.39µm
net766,136.36µm
clknet_leaf_11_clk,136.36µm
net1553,135.52µm
net2521,135.49µm
net1649,135.44µm
_02699_,135.34µm
adder_inst.i_a\[14\],135.23µm
net2488,135.195µm
net2426,135.1µm
net1118,135.04µm
net539,134.74µm
net167,134.71µm
adder_inst.i_a\[13\],133.49µm
net1802,133.24µm
_06611_,133.07µm
_06892_,132.82µm
adder_inst.sum_raw\[14\],132.52µm
net1607,132.3µm
net2053,132.28µm
clknet_leaf_15_clk,132.01µm
_05666_,131.97µm
net1847,131.89µm
net2020,131.88µm
_05583_,131.78µm
adder_inst.sum_raw_r\[16\],131.33µm
net1376,131.08µm
net1823,130.89µm
_06910_,130.12µm
_06924_,129.95µm
net1690,129.68µm
multiplier_inst.man_final_r\[22\],129.62µm
net114,129.48µm
net2061,129.07µm
net1427,129µm
_00447_,128.98µm
net1030,128.84µm
net544,128.8µm
net1999,128.56µm
net504,128.49µm
_05321_,128.02µm
net1265,127.9µm
adder_inst.man_a_r\[19\],127.7µm
net774,127.64µm
net1348,127.4µm
_06901_,126.99µm
net1254,126.85µm
net1377,126.84µm
adder_inst.exp_larger\[3\],126.8µm
net773,126.71µm
net962,126.46µm
net1267,126.42µm
net2519,126.35µm
net2271,126.16µm
