Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_142_841,VPWR,li1,393.7600,399.8400,1.799810
FILLER_142_838,VPWR,li1,391.4600,399.8400,1.799810
FILLER_142_830,VPWR,li1,389.1600,399.8400,1.799810
FILLER_142_818,VPWR,li1,384.5600,399.8400,1.799810
FILLER_142_813,VPWR,li1,379.9600,399.8400,1.799810
FILLER_142_811,VPWR,li1,378.8100,399.8400,1.799810
FILLER_142_805,VPWR,li1,377.2000,399.8400,1.799810
FILLER_142_797,VPWR,li1,373.0600,399.8400,1.799812
FILLER_142_785,VPWR,li1,369.3800,399.8400,1.799815
FILLER_142_781,VPWR,li1,365.4700,399.8400,1.799819
FILLER_142_769,VPWR,li1,362.0200,399.8400,1.799822
FILLER_142_757,VPWR,li1,356.5000,399.8400,1.799827
FILLER_142_749,VPWR,li1,350.7500,399.8400,1.799833
FILLER_142_741,VPWR,li1,348.2200,399.8400,1.799838
FILLER_142_729,VPWR,li1,343.6200,399.8400,1.799846
FILLER_142_727,VPWR,li1,340.1700,399.8400,1.799856
FILLER_142_721,VPWR,li1,338.5600,399.8400,1.799856
FILLER_142_713,VPWR,li1,334.4200,399.8400,1.799865
FILLER_142_701,VPWR,li1,330.7400,399.8400,1.799880
FILLER_142_698,VPWR,li1,327.0600,399.8400,1.799862
FILLER_142_686,VPWR,li1,323.8400,399.8400,1.799833
FILLER_142_681,VPWR,li1,319.0100,399.8400,1.799788
FILLER_142_673,VPWR,li1,316.9400,399.8400,1.799771
FILLER_142_669,VPWR,li1,313.9500,399.8400,1.799747
FILLER_142_657,VPWR,li1,310.5000,399.8400,1.799718
FILLER_142_643,VPWR,li1,301.5300,399.8400,1.799652
FILLER_142_621,VPWR,li1,291.6400,399.8400,1.799605
FILLER_142_614,VPWR,li1,288.4200,399.8400,1.799587
FILLER_142_601,VPWR,li1,282.2100,399.8400,1.799574
FILLER_142_567,VPWR,li1,266.5700,399.8400,1.799579
FILLER_142_561,VPWR,li1,264.0400,399.8400,1.799583
FILLER_142_559,VPWR,li1,262.8900,399.8400,1.799588
FILLER_142_553,VPWR,li1,261.2800,399.8400,1.799588
FILLER_142_546,VPWR,li1,257.3700,399.8400,1.799602
FILLER_142_541,VPWR,li1,254.6100,399.8400,1.799610
FILLER_142_529,VPWR,li1,249.5500,399.8400,1.799627
FILLER_142_517,VPWR,li1,246.1000,399.8400,1.799643
FILLER_142_505,VPWR,li1,240.5800,399.8400,1.799667
FILLER_142_501,VPWR,li1,236.6700,399.8400,1.799685
FILLER_142_489,VPWR,li1,233.2200,399.8400,1.799700
FILLER_142_477,VPWR,li1,227.7000,399.8400,1.799725
FILLER_142_473,VPWR,li1,223.7900,399.8400,1.799742
FILLER_142_461,VPWR,li1,220.3400,399.8400,1.799758
FILLER_142_449,VPWR,li1,214.8200,399.8400,1.799782
FILLER_142_445,VPWR,li1,210.9100,399.8400,1.799800
FILLER_142_433,VPWR,li1,207.4600,399.8400,1.799815
FILLER_142_421,VPWR,li1,201.9400,399.8400,1.799844
FILLER_142_417,VPWR,li1,198.0300,399.8400,1.799857
FILLER_142_405,VPWR,li1,194.5800,399.8400,1.799873
FILLER_142_393,VPWR,li1,189.0600,399.8400,1.799897
FILLER_142_389,VPWR,li1,185.1500,399.8400,1.799915
FILLER_142_377,VPWR,li1,181.7000,399.8400,1.799930
FILLER_142_365,VPWR,li1,176.1800,399.8400,1.799958
FILLER_142_361,VPWR,li1,172.2700,399.8400,1.799959
FILLER_142_349,VPWR,li1,168.8200,399.8400,1.799960
FILLER_142_337,VPWR,li1,163.3000,399.8400,1.799961
FILLER_142_333,VPWR,li1,159.3900,399.8400,1.799962
FILLER_142_321,VPWR,li1,155.9400,399.8400,1.799963
FILLER_142_309,VPWR,li1,150.4200,399.8400,1.799964
FILLER_142_305,VPWR,li1,146.5100,399.8400,1.799965
FILLER_142_293,VPWR,li1,143.0600,399.8400,1.799966
FILLER_142_281,VPWR,li1,137.5400,399.8400,1.799968
FILLER_142_277,VPWR,li1,133.6300,399.8400,1.799969
FILLER_142_265,VPWR,li1,130.1800,399.8400,1.799970
FILLER_142_253,VPWR,li1,124.6600,399.8400,1.799971
FILLER_142_249,VPWR,li1,120.7500,399.8400,1.799972
FILLER_142_237,VPWR,li1,117.3000,399.8400,1.799973
FILLER_142_225,VPWR,li1,111.7800,399.8400,1.799974
FILLER_142_221,VPWR,li1,107.8700,399.8400,1.799975
FILLER_142_209,VPWR,li1,104.4200,399.8400,1.799976
FILLER_142_197,VPWR,li1,98.9000,399.8400,1.799978
FILLER_142_193,VPWR,li1,94.9900,399.8400,1.799979
FILLER_142_181,VPWR,li1,91.5400,399.8400,1.799979
FILLER_142_169,VPWR,li1,86.0200,399.8400,1.799981
FILLER_142_165,VPWR,li1,82.1100,399.8400,1.799982
FILLER_142_153,VPWR,li1,78.6600,399.8400,1.799983
FILLER_142_141,VPWR,li1,73.1400,399.8400,1.799984
FILLER_142_137,VPWR,li1,69.2300,399.8400,1.799985
FILLER_142_125,VPWR,li1,65.7800,399.8400,1.799986
FILLER_142_113,VPWR,li1,60.2600,399.8400,1.799988
FILLER_142_109,VPWR,li1,56.3500,399.8400,1.799989
FILLER_142_97,VPWR,li1,52.9000,399.8400,1.799989
FILLER_142_85,VPWR,li1,47.3800,399.8400,1.799991
FILLER_142_81,VPWR,li1,43.4700,399.8400,1.799992
FILLER_142_69,VPWR,li1,40.0200,399.8400,1.799993
FILLER_142_57,VPWR,li1,34.5000,399.8400,1.799994
FILLER_142_53,VPWR,li1,30.5900,399.8400,1.799995
